HouseID,Area_sqft,Bedrooms,Bathrooms,Age_years,City,FurnishingStatus,Parking,MainRoad,Price
H0361,2540,3,1,2,Bengaluru,Semi-Furnished,3,NO,12615748.98
H0444,810,2,,20,Mumbai,UNFURNISHED,3,No,4954392.82
H0429,4495,4,2,26,Hyderabad,UNFURNISHED,0,NO,14856507.43
H0280,1356,5,3,30,Bengaluru,Unfurnished,2,Y,6676468.29
H0514,4299,1,2,27,Chennai,semi-furnished,0,Y,14670616.32
H0252,4452,1,,19,Pune,Semi-Furnished,0,Y,16338928.22
H0131,3555,4,2,5,Mumbai,FURNISHED,3,N,24369614.89
H0253,1024,3,4,19,Hyderabad,furnished,0,Yes,4134884.75
H0425,1413,5,3,31,Pune,FURNISHED,2,yes,6766012.48
H0006,832,1,2,0,Chennai,semi-furnished,2,yes,3251591.99
H0071,860,4,4,5,Chennai,Semi-Furnished,3,Yes,3606466.56
H0396,1075,5,1,13,Pune,,2,Yes,4772735.38
H0198,2365,1,2,22,Mumbai,unfurnished,1,Y,13938855.79
H0033,2218,5,3,11,Pune,FURNISHED,1,Y,10046420.02
H0163,1290,3,4,5,Bengaluru,SEMI-FURNISHED,0,yes,6764219.37
H0499,2281,2,1,18,Pune,Furnished,2,YES,9238262.27
H0497,3441,1,2,35,Mumbai,,0,YES,20839072.07
H0473,2194,5,1,3,Hyderabad,furnished,1,No,8757384.11
H0208,1785,4,2,2,Chennai,FURNISHED,3,YES,7654470.84
H0051,4434,1,2,22,Pune,unfurnished,3,NO,15525386.54
H0485,4408,2,3,32,Hyderabad,semi-furnished,2,no,15311830.58
H0517,991,1,1,16,Bengaluru,unfurnished,3,yes,4404986.28
H0408,4002,5,4,16,Bengaluru, Furnished ,0,No,21461886.0
H0275,1640,3,3,27,Hyderabad, Unfurnished,0,YES,5637385.14
H0046,4189,3,3,1,Delhi,unfurnished,3,Y,20787769.39
H0043,458,1,1,22,Bengaluru,UNFURNISHED,1,No,2420177.94
H0372,1351,1,1,19,Bengaluru,unfurnished,0,N,6127376.29
H0220,2842,2,1,13,Delhi, Unfurnished,2,NO,14007827.7
H0062,1222,4,3,24,Chennai,,2,YES,4940589.89
H0016,2488,3,3,20,Mumbai,FURNISHED,0,Y,17101413.96
H0138,1283,1,2,32,Mumbai,Furnished,1,No,8344204.36
H0118,511,5,3,9,Hyderabad,SEMI-FURNISHED,3,YES,2970025.39
H0041,2568,2,1,8,Bengaluru,FURNISHED,1,no,13294217.51
H0420,3402,1,2,6,Chennai,SEMI-FURNISHED,0,NO,11373362.54
H0059,3469,1,2,8,Mumbai,unfurnished,3,Y,20125440.44
H0472,1154,3,3,3,Bengaluru, Furnished ,0,YES,6577711.59
H0108,2387,4,2,21,Hyderabad,UNFURNISHED,0,yes,8030786.32
H0468,4429,4,,34,Chennai,FURNISHED,0,no,16803031.91
H0224,1568,2,,34,Chennai,Furnished,3,Yes,5946289.0
H0402,2294,5,2,27,Delhi,FURNISHED,0,YES,13121696.24
H0133,4425,3,1,23,Delhi, Furnished ,3,N,24595501.81
H0104,3140,3,3,32,Chennai,Semi-Furnished,3,Y,11197466.83
H0007,2041,4,4,22,Mumbai, Unfurnished,2,Yes,12488862.66
H0498,1273,5,3,25,Mumbai,SEMI-FURNISHED,1,YES,8728273.22
H0520,2329,2,1,19,Delhi,SEMI-FURNISHED,1,Y,11709594.12
H0203,4391,5,2,33,Hyderabad, Furnished ,3,Y,17080507.18
H0258,899,2,2,21,Bengaluru,Semi-Furnished,1,N,4563043.56
H0030,2691,3,,16,Hyderabad,FURNISHED,0,yes,10123567.05
H0358,1278,4,1,27,Delhi,semi-furnished,3,Yes,6728737.17
H0352,2832,1,2,24,Hyderabad,semi-furnished,2,No,9924876.22
H0060,1129,3,3,1,Pune,SEMI-FURNISHED,0,YES,4554134.26
H0287,4361,5,1,10,Pune, Unfurnished,2,Y,16227545.33
H0342,3059,2,1,15,Mumbai,UNFURNISHED,3,Y,18132653.41
H0246,2222,1,1,5,Hyderabad,furnished,3,Y,8411111.23
H0107,3513,1,2,5,Delhi,Furnished,3,YES,19863092.72
H0441,609,1,1,12,Bengaluru,UNFURNISHED,1,No,3059134.82
H0375,1383,4,3,20,Pune,Unfurnished,0,NO,5369912.48
H0266,949,5,1,27,Chennai,Unfurnished,2,Yes,3674539.85
H0272,2812,3,2,32,Chennai,Furnished,3,Yes,10618801.08
H0110,1767,5,4,8,Chennai,unfurnished,0,no,6399915.56
H0502,1044,5,,25,Pune,Furnished,2,N,4908241.54
H0124,536,4,4,21,Delhi,Unfurnished,3,yes,3130674.66
H0054,992,4,,10,Chennai,SEMI-FURNISHED,0,yes,4269272.13
H0414,2227,5,3,6,Delhi,Semi-Furnished,3,yes,11964519.85
H0506,1642,4,1,32,Mumbai,SEMI-FURNISHED,2,Y,10234944.69
H0319,781,1,1,14,Pune,SEMI-FURNISHED,2,Y,3226758.74
H0217,4041,5,1,31,Delhi, Furnished ,2,Yes,23107447.98
H0061,1076,4,4,31,Hyderabad,Semi-Furnished,0,No,4126449.81
H0119,1055,2,3,2,Bengaluru, Unfurnished,3,Y,5183049.1
H0326,841,5,3,28,Bengaluru,,1,Y,4631983.83
H0398,4242,4,1,11,Bengaluru,FURNISHED,2,Y,22618763.74
H0312,3605,5,3,19,Hyderabad,UNFURNISHED,2,YES,12535102.56
H0085,2481,2,1,21,Mumbai,Furnished,2,NO,16483497.66
H0256,3901,5,3,22,Chennai,FURNISHED,3,N,15367334.6
H0096,3022,3,4,7,Hyderabad,furnished,2,yes,11863206.89
H0205,4039,3,3,13,Chennai,Semi-Furnished,0,YES,14285123.96
H0227,2601,4,3,28,Pune,,1,N,11303017.12
H0262,3740,4,1,24,Chennai,Semi-Furnished,1,Yes,13344484.29
H0032,1887,2,1,0,Mumbai, Unfurnished,0,YES,10976397.96
H0386,3293,1,1,11,Chennai,Furnished,3,YES,12603825.03
H0017,1560,2,1,33,Bengaluru,FURNISHED,0,yes,7915484.12
H0070,3375,1,1,10,Chennai,unfurnished,0,Yes,11137529.12
H0490,1700,1,1,5,Chennai,Unfurnished,1,YES,5578908.62
H0093,1868,4,1,32,Mumbai,furnished,0,yes,12848684.05
H0055,1884,1,2,5,Chennai,Furnished,1,Y,7352035.14
H0313,3243,5,1,6,Pune,Unfurnished,1,YES,11968163.89
H0316,1521,1,1,20,Hyderabad,semi-furnished,0,Yes,5021185.01
H0101,1951,5,3,5,Chennai,Semi-Furnished,0,YES,7507451.19
H0367,480,1,2,23,Chennai,SEMI-FURNISHED,3,YES,1527791.83
H0203,4391,5,2,33,Hyderabad, Furnished ,3,Y,17080507.18
H0004,1615,2,1,23,Chennai,UNFURNISHED,1,YES,5087823.73
H0200,2581,4,3,4,Bengaluru, Furnished ,2,Y,14091402.94
H0099,733,4,1,34,Hyderabad,Furnished,1,Yes,2922572.82
H0179,920,4,3,32,Hyderabad,Semi-Furnished,2,YES,3540249.33
H0073,2745,3,2,13,Delhi,Furnished,0,Yes,15812887.79
H0366,4211,4,4,34,Pune,Unfurnished,2,YES,15738478.79
H0355,4377,4,3,30,Mumbai,Semi-Furnished,0,Y,26897102.85
H0426,4105,5,4,8,Pune,furnished,0,yes,17339586.24
H0087,2276,5,2,13,Delhi,SEMI-FURNISHED,2,yes,12412733.78
H0299,2126,5,4,15,Delhi,Furnished,1,Yes,12725819.73
H0260,2098,5,2,26,Mumbai,Unfurnished,3,Yes,12588173.14
H0199,1666,5,3,17,Pune,FURNISHED,0,Yes,7498489.16
H0516,815,1,2,12,Chennai, Unfurnished,3,Yes,2852533.98
H0410,3001,4,2,14,Delhi,FURNISHED,1,No,16931448.55
H0482,4424,1,1,26,Bengaluru,unfurnished,0,YES,19671433.32
H0418,661,3,1,15,Pune,SEMI-FURNISHED,3,Y,3031943.24
H0346,2127,4,1,15,Mumbai,furnished,3,N,14680066.13
H0508,4471,1,2,11,Pune,Furnished,2,YES,18565274.01
H0298,1509,1,2,28,Pune,Semi-Furnished,0,NO,5464014.44
H0001,2786,2,3,14,Hyderabad,SEMI-FURNISHED,1,NO,10048678.78
H0212,766,1,1,20,Pune,furnished,3,YES,3028696.88
H0089,1863,4,3,4,Hyderabad,furnished,1,yes,7859417.59
H0466,3905,2,2,6,Pune, Furnished ,2,YES,16208251.3
H0088,1539,2,3,17,Bengaluru, Unfurnished,1,NO,6990085.02
H0320,4448,2,1,35,Chennai,semi-furnished,2,no,15341523.48
H0329,1153,2,3,25,Hyderabad,,3,NO,4525967.34
H0403,3876,1,,8,Bengaluru, Furnished ,3,Yes,20084846.71
H0483,3398,1,1,1,Bengaluru,Semi-Furnished,1,N,16277911.93
H0347,3760,3,1,14,Chennai, Furnished ,0,N,14339125.48
H0455,3108,1,1,20,Mumbai,Unfurnished,0,N,17742370.13
H0446,4265,2,1,6,Hyderabad,Unfurnished,1,No,13769947.29
H0080,3616,4,3,20,Pune,SEMI-FURNISHED,3,Yes,14349443.54
H0369,1974,4,4,34,Pune,UNFURNISHED,3,yes,7390467.75
H0197,3779,1,1,8,Bengaluru,FURNISHED,2,no,19803331.62
H0112,2168,2,3,11,Hyderabad,SEMI-FURNISHED,3,Y,7687661.92
H0039,3502,5,4,24,Chennai,UNFURNISHED,0,No,12242487.65
H0010,4040,5,4,24,Chennai,semi-furnished,2,yes,14701390.97
H0356,884,3,1,19,Hyderabad,unfurnished,2,YES,3245590.53
H0471,3573,5,2,26,Bengaluru,unfurnished,1,N,16781969.49
H0234,479,3,1,19,Delhi,Furnished,3,YES,3377486.65
H0364,3159,5,3,5,Mumbai,SEMI-FURNISHED,1,N,19737600.24
H0286,3119,1,1,26,Bengaluru,,2,no,16148193.61
H0447,2591,4,1,17,Chennai,semi-furnished,1,YES,9087823.31
H0235,3958,1,2,25,Delhi,FURNISHED,2,Yes,22260288.44
H0160,1834,2,3,27,Pune,Semi-Furnished,3,Y,7059680.54
H0231,3013,4,4,7,Hyderabad,SEMI-FURNISHED,3,YES,11074400.59
H0064,2202,5,4,33,Chennai, Furnished ,1,yes,9142710.87
H0349,1106,2,3,18,Mumbai,unfurnished,3,yes,6849561.54
H0037,2699,3,3,30,Delhi,Semi-Furnished,2,Yes,13840254.36
H0427,2714,3,2,29,Delhi,Semi-Furnished,1,yes,14064014.96
H0388,1777,4,1,2,Chennai, Unfurnished,2,Y,6294420.15
H0373,2983,3,3,20,Bengaluru,Semi-Furnished,3,Y,14831238.9
H0204,2290,4,3,3,Pune,SEMI-FURNISHED,3,YES,9328233.19
H0102,3713,3,3,4,Delhi,furnished,3,Yes,21319915.28
H0135,2209,1,2,22,Delhi,Furnished,0,NO,12063586.13
H0155,2150,4,2,8,Delhi, Unfurnished,2,No,11220891.38
H0374,3644,3,4,21,Mumbai,SEMI-FURNISHED,1,Y,22342420.91
H0469,2572,4,3,24,Bengaluru,Furnished,0,Yes,13565946.56
H0137,2499,3,4,16,Pune,,0,Y,9302556.26
H0209,566,5,1,18,Mumbai,semi-furnished,0,no,4276737.6
H0431,1802,1,1,26,Pune,semi-furnished,2,yes,6694636.34
H0412,3015,1,1,16,Hyderabad, Unfurnished,1,YES,9987101.85
H0338,770,1,2,5,Delhi,furnished,3,YES,4697205.27
H0449,3067,4,2,29,Chennai,Furnished,0,Yes,12065880.14
H0207,1086,3,2,29,Chennai,SEMI-FURNISHED,1,N,3977695.48
H0157,4464,2,2,12,Chennai,semi-furnished,3,YES,15450005.54
H0461,2988,5,2,28,Mumbai,UNFURNISHED,3,Y,18045764.98
H0362,2412,3,,35,Chennai,Semi-Furnished,0,YES,8571385.14
H0494,3203,1,2,16,Hyderabad,SEMI-FURNISHED,1,Yes,10971930.75
H0086,3316,3,3,0,Chennai,Furnished,2,Y,12940027.07
H0021,1219,4,3,15,Pune,furnished,1,Y,5704334.01
H0310,1430,5,4,22,Delhi,Semi-Furnished,2,Yes,7990185.9
H0223,1827,3,,35,Mumbai, Furnished ,2,Yes,12414739.21
H0332,1216,1,2,32,Pune,SEMI-FURNISHED,0,Y,4263802.64
H0226,3428,5,1,21,Chennai,Semi-Furnished,2,YES,12012339.45
H0470,4045,4,4,19,Chennai,Semi-Furnished,0,Yes,14254502.44
H0440,2790,1,1,24,Delhi,Semi-Furnished,0,N,13958907.3
H0507,3918,4,,4,Bengaluru,Semi-Furnished,1,YES,19093007.52
H0248,2890,1,1,17,Delhi,FURNISHED,0,YES,15912946.6
H0400,3403,1,1,27,Hyderabad,Furnished,1,Yes,12545050.02
H0111,1549,1,1,4,Chennai,UNFURNISHED,0,yes,5193049.19
H0436,662,5,2,9,Hyderabad, Unfurnished,2,yes,3167720.43
H0489,2005,1,1,24,Mumbai,Unfurnished,0,Yes,11396342.39
H0012,4009,3,1,0,Bengaluru,Semi-Furnished,2,No,19492130.74
H0162,3674,4,2,21,Hyderabad,semi-furnished,1,YES,12936754.18
H0465,2574,4,1,31,Pune,SEMI-FURNISHED,3,Y,10250594.69
H0211,949,1,1,1,Hyderabad,SEMI-FURNISHED,1,no,3635817.27
H0276,4160,1,1,32,Hyderabad,Semi-Furnished,2,Y,13950511.09
H0344,457,3,2,16,Pune,Semi-Furnished,2,yes,2058461.57
H0029,1456,3,4,32,Hyderabad,SEMI-FURNISHED,0,Y,5216137.82
H0132,816,2,2,9,Bengaluru,Unfurnished,2,YES,4090235.74
H0177,2159,1,2,28,Bengaluru,FURNISHED,0,Y,11039105.87
H0090,2805,2,2,23,Delhi, Unfurnished,2,NO,13889185.94
H0136,911,4,4,16,Hyderabad,unfurnished,0,Y,3708747.92
H0288,1577,4,4,10,Chennai,Semi-Furnished,1,yes,6228335.09
H0493,1405,3,3,7,Hyderabad,FURNISHED,2,Y,5625559.43
H0091,1919,5,2,12,Mumbai,Unfurnished,0,YES,11559934.05
H0025,988,2,1,8,Mumbai,Semi-Furnished,0,N,6567049.73
H0173,662,2,2,10,Mumbai,SEMI-FURNISHED,1,Yes,4634055.82
H0112,2168,2,3,11,Hyderabad,SEMI-FURNISHED,3,Y,7687661.92
H0475,4309,4,4,29,Delhi,furnished,2,N,24339574.5
H0359,2623,5,2,21,Pune,UNFURNISHED,0,YES,10198704.26
H0293,1409,5,3,30,Bengaluru, Unfurnished,1,NO,7010398.75
H0477,1395,2,1,6,Mumbai,Furnished,0,Y,9752162.87
H0476,3874,5,2,15,Chennai, Furnished ,1,yes,14813730.42
H0305,4450,4,3,15,Chennai,unfurnished,2,no,14779091.66
H0077,3518,2,1,7,Delhi,SEMI-FURNISHED,3,No,17981320.2
H0424,1925,5,1,20,Delhi,SEMI-FURNISHED,2,NO,10483336.83
H0186,4433,1,1,26,Chennai,FURNISHED,2,Y,16217863.53
H0144,650,5,3,7,Pune,FURNISHED,3,yes,3636558.11
H0053,2986,1,2,21,Delhi,Semi-Furnished,2,NO,15518744.96
H0443,1668,3,2,30,Mumbai,,2,NO,10776393.18
H0491,2225,4,2,31,Mumbai,Semi-Furnished,3,no,13767734.09
H0170,4303,3,4,2,Chennai,FURNISHED,2,N,16705012.82
H0215,4432,3,4,17,Pune,furnished,0,no,18308834.42
H0068,4178,3,1,11,Mumbai,Semi-Furnished,1,no,25845532.05
H0069,3196,3,1,15,Delhi,FURNISHED,2,Y,18127215.66
H0413,3596,2,1,24,Bengaluru,SEMI-FURNISHED,1,Yes,17067996.55
H0029,1456,3,4,32,Hyderabad,SEMI-FURNISHED,0,Y,5216137.82
H0296,4193,1,2,15,Hyderabad,UNFURNISHED,2,YES,13475751.58
H0148,525,4,3,29,Pune,Semi-Furnished,3,yes,2719757.51
H0122,4316,2,1,31,Mumbai,SEMI-FURNISHED,3,NO,26281782.59
H0389,2869,4,3,26,Pune,unfurnished,0,yes,10697180.52
H0250,3332,5,2,22,Delhi, Unfurnished,0,YES,16703597.76
H0120,3061,4,2,3,Delhi, Unfurnished,2,YES,15247366.06
H0430,1481,5,1,33,Hyderabad,UNFURNISHED,1,Y,5569005.05
H0061,1076,4,4,31,Hyderabad,Semi-Furnished,0,No,4126449.81
H0156,1331,4,4,28,Chennai,FURNISHED,2,YES,5836522.48
H0308,894,2,3,5,Pune, Furnished ,1,no,3951366.92
H0350,2550,3,4,22,Mumbai, Unfurnished,0,YES,15454895.94
H0463,3608,3,,26,Delhi,Unfurnished,2,Y,17645644.53
H0116,3035,4,3,10,Chennai,SEMI-FURNISHED,0,Y,10776911.96
H0439,3437,1,2,29,Mumbai,semi-furnished,1,Y,20996414.1
H0302,1998,2,3,31,Delhi,SEMI-FURNISHED,0,YES,10179674.07
H0264,1909,3,4,19,Bengaluru,Furnished,1,No,10602526.76
H0254,2872,5,1,10,Bengaluru,FURNISHED,1,no,15744821.99
H0008,2003,3,1,15,Chennai, Unfurnished,2,no,7125509.55
H0387,3059,1,1,0,Delhi,Furnished,1,Y,17170087.03
H0015,1383,1,2,23,Chennai, Unfurnished,2,No,4774747.83
H0114,1813,5,1,17,Bengaluru,semi-furnished,2,Yes,9363990.6
H0065,1894,3,4,15,Hyderabad,unfurnished,0,YES,41069014.66
H0315,2194,3,1,22,Hyderabad,Semi-Furnished,2,YES,7525525.54
H0125,4325,3,4,12,Chennai,FURNISHED,3,Yes,16746771.42
H0009,3437,5,4,2,Delhi,FURNISHED,3,Y,19922591.75
H0097,3833,3,3,22,Mumbai,semi-furnished,3,no,23639766.03
H0109,2369,1,1,0,Chennai,semi-furnished,0,No,8140856.79
H0409,2092,5,2,32,Bengaluru,SEMI-FURNISHED,0,YES,10294955.12
H0433,1838,2,2,6,Mumbai,unfurnished,3,NO,11147226.13
H0230,1368,5,4,0,Chennai, Furnished ,2,yes,6274541.67
H0357,1661,2,2,27,Hyderabad,SEMI-FURNISHED,2,Y,5722902.82
H0034,1975,3,3,18,Hyderabad,SEMI-FURNISHED,0,Yes,7071048.1
H0036,4005,3,2,27,Mumbai, Furnished ,0,yes,26678104.09
H0222,3622,2,1,13,Pune,Furnished,2,Y,14889768.93
H0078,4065,5,1,11,Bengaluru,SEMI-FURNISHED,1,YES,19979590.2
H0335,649,2,3,2,Hyderabad,SEMI-FURNISHED,2,N,2629184.51
H0460,2408,2,3,2,Bengaluru,Unfurnished,2,Yes,11346113.81
H0505,3847,2,1,12,Hyderabad,Unfurnished,0,Y,12776844.86
H0307,2331,5,1,21,Pune,Unfurnished,1,yes,39055591.26
H0428,4161,3,4,3,Chennai,furnished,3,No,16226009.24
H0251,4336,3,3,2,Delhi,Unfurnished,3,yes,21324075.95
H0437,2001,2,2,1,Chennai,semi-furnished,3,yes,7437119.69
H0178,1197,3,3,7,Mumbai,UNFURNISHED,1,Y,7641211.43
H0282,4060,5,,34,Mumbai, Unfurnished,3,YES,23993540.27
H0121,2301,2,3,22,Hyderabad,SEMI-FURNISHED,1,yes,8245098.7
H0232,4414,2,1,25,Chennai,,3,YES,16480851.12
H0343,1953,4,3,26,Mumbai, Unfurnished,3,Y,12096258.66
H0445,1184,1,2,10,Chennai,Furnished,0,yes,4367375.48
H0504,1034,4,4,3,Bengaluru,semi-furnished,0,yes,5652419.28
H0201,783,4,4,13,Delhi,SEMI-FURNISHED,2,Y,4530718.44
H0228,2813,4,4,16,Pune, Furnished ,3,yes,12039458.61
H0103,511,2,1,13,Mumbai,unfurnished,2,Y,3293274.95
H0150,3085,5,2,2,Chennai,semi-furnished,1,no,11303298.37
H0401,4274,1,1,25,Hyderabad, Furnished ,3,Y,16129862.74
H0240,1424,5,1,20,Pune,unfurnished,0,YES,5691582.97
H0247,4458,3,3,18,Hyderabad,Furnished,3,yes,16971558.95
H0309,3124,1,1,2,Mumbai,FURNISHED,3,YES,21291006.46
H0454,3171,5,4,23,Pune,FURNISHED,3,Y,13728783.97
H0031,3384,3,1,26,Mumbai,semi-furnished,0,YES,20949295.45
H0171,2433,3,2,29,Delhi,Unfurnished,2,Yes,12062522.59
H0142,2008,1,1,4,Hyderabad,Furnished,1,yes,7548100.93
H0151,3759,5,2,11,Mumbai,,2,YES,25548495.32
H0515,1743,1,1,3,Mumbai,,3,yes,11713691.57
H0057,2981,2,3,33,Delhi,SEMI-FURNISHED,1,YES,15444082.3
H0259,4201,4,4,26,Delhi,Furnished,2,YES,23967881.52
H0284,2471,1,2,13,Bengaluru,SEMI-FURNISHED,2,NO,11947832.89
H0370,2801,5,2,22,Pune, Unfurnished,2,no,10920731.33
H0451,2029,4,3,29,Chennai,unfurnished,0,no,6976269.65
H0481,1501,3,2,7,Pune, Unfurnished,1,yes,5753362.93
H0066,1981,2,1,34,Bengaluru,SEMI-FURNISHED,2,YES,9405100.81
H0283,2427,4,1,18,Bengaluru,FURNISHED,0,Yes,13147079.9
H0512,3250,1,1,13,Mumbai,furnished,1,No,21705597.43
H0165,2948,1,2,20,Chennai,Semi-Furnished,1,N,10019269.9
H0407,4433,5,1,0,Hyderabad,Unfurnished,3,Yes,15025828.53
H0281,3960,4,3,1,Hyderabad,,1,yes,14215956.49
H0342,3059,2,1,15,Mumbai,UNFURNISHED,3,Y,18132653.41
H0488,4422,5,1,35,Chennai,SEMI-FURNISHED,1,NO,15696964.92
H0317,3386,4,3,5,Bengaluru,SEMI-FURNISHED,0,yes,16945937.33
H0052,479,4,2,23,Chennai,Semi-Furnished,1,YES,1892592.96
H0294,4177,3,4,16,Hyderabad,unfurnished,0,Y,13629391.25
H0513,595,3,3,0,Bengaluru,SEMI-FURNISHED,1,Y,3506933.65
H0340,1856,4,2,21,Pune,unfurnished,0,yes,7033481.7
H0495,1712,5,3,12,Delhi,semi-furnished,0,Yes,9277120.8
H0417,3470,1,1,33,Delhi,Furnished,3,YES,18968156.54
H0192,1938,1,2,10,Hyderabad,SEMI-FURNISHED,2,yes,6730102.84
H0193,3014,2,2,7,Hyderabad,Semi-Furnished,3,YES,10804170.5
H0339,1584,2,3,0,Mumbai,furnished,1,N,10795674.52
H0149,4083,1,2,22,Bengaluru,unfurnished,3,yes,18211587.76
H0190,3213,1,1,30,Hyderabad,Furnished,3,Y,12098739.33
H0519,3951,1,2,13,Delhi,SEMI-FURNISHED,3,YES,20055788.38
H0322,1085,5,2,29,Delhi, Unfurnished,1,Yes,5749635.57
H0233,1904,3,2,8,Bengaluru,Furnished,2,N,10318990.51
H0377,4360,2,2,4,Mumbai,semi-furnished,3,NO,26911843.11
H0024,1098,3,2,2,Chennai,furnished,3,yes,4915287.21
H0174,2929,5,4,26,Hyderabad,semi-furnished,0,Yes,10691486.84
H0330,495,1,2,20,Bengaluru,Unfurnished,1,yes,2159813.41
H0128,4316,4,4,24,Pune,Semi-Furnished,2,N,16614422.91
H0098,593,3,2,33,Mumbai,Unfurnished,1,Yes,3579318.31
H0278,1226,3,1,1,Mumbai,FURNISHED,2,yes,8730541.89
H0018,2421,5,4,29,Hyderabad,unfurnished,0,Yes,8294698.06
H0432,2059,4,2,23,Pune,unfurnished,0,yes,7693692.12
H0399,4378,3,4,25,Mumbai, Furnished ,1,Yes,29807878.02
H0392,4400,4,2,12,Pune,Furnished,1,YES,18192784.79
H0273,2264,5,1,30,Chennai,semi-furnished,2,YES,8157815.16
H0095,1079,5,2,18,Hyderabad,UNFURNISHED,1,YES,4218920.58
H0005,2599,3,4,24,Bengaluru,Unfurnished,0,Yes,11879514.01
